stadium_name,week_number,average_temperature
Ford Field,39,19.26
Ford Field,40,17.17
Ford Field,41,13.1
Ford Field,42,9.54
Ford Field,43,12.36
Ford Field,44,13.49
Ford Field,45,13.59
Ford Field,46,8.41
Ford Field,47,6.84
Ford Field,48,1.26
Ford Field,49,-0.76
Ford Field,50,-0.53
Ford Field,51,-0.23
Ford Field,52,3.46
Gillette Stadium,1,0.67
Gillette Stadium,2,2.19
Gillette Stadium,3,-5.51
Gillette Stadium,4,1.61
Gillette Stadium,5,-0.83
Gillette Stadium,6,1.36
Gillette Stadium,7,-1.47
Gillette Stadium,8,-1.34
Gillette Stadium,9,4.3
Gillette Stadium,10,5.69
Gillette Stadium,11,6.07
Gillette Stadium,12,2.2
Gillette Stadium,13,5.51
Gillette Stadium,14,4.04
Gillette Stadium,15,10.49
Gillette Stadium,16,9.4
Gillette Stadium,17,8.04
Gillette Stadium,18,11.43
Gillette Stadium,19,12.34
Gillette Stadium,20,13.43
Gillette Stadium,21,18.71
Gillette Stadium,22,17.83
Gillette Stadium,23,19.29
Gillette Stadium,24,18.86
Gillette Stadium,25,23.3
Gillette Stadium,26,22.24
Gillette Stadium,27,22.67
Gillette Stadium,28,25.53
Gillette Stadium,29,25.33
Gillette Stadium,30,22.19
Gillette Stadium,31,24.37
Gillette Stadium,32,21.66
Gillette Stadium,33,20.4
Gillette Stadium,34,19.19
Gillette Stadium,35,20.53
Gillette Stadium,36,17.86
Gillette Stadium,37,18.43
Gillette Stadium,38,17.29
Gillette Stadium,39,15.91
Gillette Stadium,40,14.9
Gillette Stadium,41,11.73
Gillette Stadium,42,9.37
Gillette Stadium,43,13.5
Gillette Stadium,44,11.2
Gillette Stadium,45,11.2
Gillette Stadium,46,6.89
Gillette Stadium,47,7.19
Gillette Stadium,48,2.74
Gillette Stadium,49,-0.2
Gillette Stadium,50,1.86
Gillette Stadium,51,0.36
Gillette Stadium,52,-2.17
Hard Rock Stadium,1,18.97
Hard Rock Stadium,2,21.66
Hard Rock Stadium,3,20.34
Hard Rock Stadium,4,22.73
Hard Rock Stadium,5,16.76
Hard Rock Stadium,6,18.61
Hard Rock Stadium,7,21.33
Hard Rock Stadium,8,16.71
Hard Rock Stadium,9,21.01
Hard Rock Stadium,10,23.37
Hard Rock Stadium,11,23.06
Hard Rock Stadium,12,21.8
Hard Rock Stadium,13,22.2
Hard Rock Stadium,14,22.63
Hard Rock Stadium,15,23.04
Hard Rock Stadium,16,23.83
Hard Rock Stadium,17,22.67
Hard Rock Stadium,18,24.41
Hard Rock Stadium,19,27.0
Hard Rock Stadium,20,28.29
Hard Rock Stadium,21,27.11
Hard Rock Stadium,22,27.8
Hard Rock Stadium,23,27.33
Hard Rock Stadium,24,25.91
Hard Rock Stadium,25,26.76
Hard Rock Stadium,26,26.57
Hard Rock Stadium,27,27.7
Hard Rock Stadium,28,27.64
Hard Rock Stadium,29,28.34
Hard Rock Stadium,30,27.87
Hard Rock Stadium,31,27.43
Hard Rock Stadium,32,27.96
Hard Rock Stadium,33,27.76
Hard Rock Stadium,34,27.09
Hard Rock Stadium,35,26.73
Hard Rock Stadium,36,27.7
Hard Rock Stadium,37,27.2
Hard Rock Stadium,38,26.19
Hard Rock Stadium,39,27.76
Hard Rock Stadium,40,26.49
Hard Rock Stadium,41,25.47
Hard Rock Stadium,42,24.83
Hard Rock Stadium,43,24.36
Hard Rock Stadium,44,25.37
Hard Rock Stadium,45,25.93
Hard Rock Stadium,46,24.34
Hard Rock Stadium,47,20.67
Hard Rock Stadium,48,21.87
Hard Rock Stadium,49,18.46
Hard Rock Stadium,50,22.29
Hard Rock Stadium,51,20.87
Hard Rock Stadium,52,21.7
Highmark Stadium,1,0.47
Highmark Stadium,2,0.89
Highmark Stadium,3,-7.59
Highmark Stadium,4,1.54
