stadium_name,week_number,condition
Highmark Stadium,49,snowy
Highmark Stadium,50,rainy
Highmark Stadium,51,snowy
Highmark Stadium,52,snowy
Huntington Bank Field,1,snowy
Huntington Bank Field,2,snowy
Huntington Bank Field,3,snowy
Huntington Bank Field,4,drizzle
Huntington Bank Field,5,drizzle
Huntington Bank Field,6,cloudy
Huntington Bank Field,7,cloudy
Huntington Bank Field,8,cloudy
Huntington Bank Field,9,cloudy
Huntington Bank Field,10,cloudy
Huntington Bank Field,11,cloudy
Huntington Bank Field,12,snowy
Huntington Bank Field,13,cloudy
Huntington Bank Field,14,rainy
Huntington Bank Field,15,rainy
Huntington Bank Field,16,cloudy
Huntington Bank Field,17,cloudy
Huntington Bank Field,18,rainy
Huntington Bank Field,19,cloudy
Huntington Bank Field,20,cloudy
Huntington Bank Field,21,drizzle
Huntington Bank Field,22,rainy
Huntington Bank Field,23,drizzle
Huntington Bank Field,24,cloudy
Huntington Bank Field,25,drizzle
Huntington Bank Field,26,drizzle
Huntington Bank Field,27,cloudy
Huntington Bank Field,28,rainy
Huntington Bank Field,29,drizzle
Huntington Bank Field,30,drizzle
Huntington Bank Field,31,rainy
Huntington Bank Field,32,rainy
Huntington Bank Field,33,rainy
Huntington Bank Field,34,drizzle
Huntington Bank Field,35,drizzle
Huntington Bank Field,36,cloudy
Huntington Bank Field,37,sunny
Huntington Bank Field,38,cloudy
Huntington Bank Field,39,rainy
Huntington Bank Field,40,cloudy
Huntington Bank Field,41,cloudy
Huntington Bank Field,42,rainy
Huntington Bank Field,43,cloudy
Huntington Bank Field,44,cloudy
Huntington Bank Field,45,cloudy
Huntington Bank Field,46,cloudy
Huntington Bank Field,47,drizzle
Huntington Bank Field,48,snowy
Huntington Bank Field,49,snowy
Huntington Bank Field,50,rainy
Huntington Bank Field,51,snowy
Huntington Bank Field,52,drizzle
Lambeau Field,1,cloudy
Lambeau Field,2,snowy
Lambeau Field,3,cloudy
Lambeau Field,4,cloudy
Lambeau Field,5,cloudy
Lambeau Field,6,cloudy
Lambeau Field,7,cloudy
Lambeau Field,8,cloudy
Lambeau Field,9,cloudy
Lambeau Field,10,snowy
Lambeau Field,11,cloudy
Lambeau Field,12,cloudy
Lambeau Field,13,cloudy
Lambeau Field,14,snowy
Lambeau Field,15,drizzle
Lambeau Field,16,cloudy
Lambeau Field,17,drizzle
Lambeau Field,18,cloudy
Lambeau Field,19,drizzle
Lambeau Field,20,cloudy
Lambeau Field,21,drizzle
Lambeau Field,22,cloudy
Lambeau Field,23,drizzle
Lambeau Field,24,cloudy
Lambeau Field,25,drizzle
Lambeau Field,26,cloudy
Lambeau Field,27,rainy
Lambeau Field,28,rainy
Lambeau Field,29,cloudy
Lambeau Field,30,cloudy
Lambeau Field,31,rainy
Lambeau Field,32,rainy
Lambeau Field,33,rainy
Lambeau Field,34,cloudy
Lambeau Field,35,rainy
Lambeau Field,36,cloudy
Lambeau Field,37,cloudy
Lambeau Field,38,cloudy
Lambeau Field,39,cloudy
Lambeau Field,40,cloudy
Lambeau Field,41,cloudy
Lambeau Field,42,cloudy
Lambeau Field,43,cloudy
Lambeau Field,44,rainy
Lambeau Field,45,drizzle
Lambeau Field,46,cloudy
Lambeau Field,47,rainy
Lambeau Field,48,cloudy
Lambeau Field,49,cloudy
Lambeau Field,50,cloudy
Lambeau Field,51,cloudy
Lambeau Field,52,cloudy
Levi's Stadium,1,cloudy
Levi's Stadium,2,drizzle
Levi's Stadium,3,rainy
Levi's Stadium,4,cloudy
Levi's Stadium,5,rainy
Levi's Stadium,6,cloudy
Levi's Stadium,7,cloudy
Levi's Stadium,8,cloudy
Levi's Stadium,9,rainy
Levi's Stadium,10,drizzle
Levi's Stadium,11,sunny
Levi's Stadium,12,cloudy
Levi's Stadium,13,drizzle
Levi's Stadium,14,sunny
Levi's Stadium,15,cloudy
Levi's Stadium,16,cloudy
Levi's Stadium,17,cloudy
Levi's Stadium,18,sunny
Levi's Stadium,19,sunny
Levi's Stadium,20,cloudy
Levi's Stadium,21,cloudy
Levi's Stadium,22,sunny
Levi's Stadium,23,cloudy
Levi's Stadium,24,sunny
Levi's Stadium,25,cloudy
Levi's Stadium,26,sunny
Levi's Stadium,27,sunny
Levi's Stadium,28,cloudy
Levi's Stadium,29,cloudy
Levi's Stadium,30,cloudy
Levi's Stadium,31,cloudy
Levi's Stadium,32,cloudy
Levi's Stadium,33,cloudy
Levi's Stadium,34,sunny
Levi's Stadium,35,cloudy
Levi's Stadium,36,cloudy
Levi's Stadium,37,cloudy
